問題No,難易度,問題,選択肢1,選択肢2,選択肢3,選択肢4,正解,コメント
S-18,S,"1991年度の使途不明金処理に関する議案（第20回総会）で、誓約書を「破棄」するに至った直接の理由は何か？","誓約書の内容に不備があったため。","誓約を交わした会計委員長が、誓約書の返還を不要としたため。","使途不明金が全額返還されたため、誓約書は不要になったから。","誓約書の保管期限が切れたため。",2,"議案本文の「1991年度会計委員長と電子メールの交換の結果、誓約書は返還してもらわなくて結構とのことであった」という非常に細かい記述を根拠とする問題です。文書の隅々まで読み込んでいるかが試されます。"
S-19,S,"「総収入額、総支出額及び総内部留保額」は予算に計上され、「総収入額、総支出額及び次年度繰越額」は決算に計上される。この違いが示す会計上の操作は何か？","予算段階では収入の使途を全て計画（支出or内部留保）するが、決算段階では実績（支出）との差額が結果として次年度繰越になることを示している。","内部留保は予算だけの概念であり、決算時には全て支出されることを意味する。","予算と決算では、総収入額の定義が異なることを示している。","この違いに特に意味はなく、慣習的にそうなっているだけである。",1,"予算は「計画」であり、決算は「結果」です。予算では収入をどう使うか（支出＋内部留保）を計画し、決算では実際どうだったか（支出）を報告し、その結果として残ったお金（次年度繰越）を示す、という会計の流れを理解しているかを問う難問です。"
S-20,S,"サークル代表者会議の開催通知は「立て看板およびサークルポスト」を使うと定められている。現代において、この通知方法が形骸化している可能性がある場合、議長が規則を遵守しつつ、より確実に情報を伝達するために取るべき行動は何か？","規則にないSNSやメールでの連絡のみで済ませる。","規則通り立て看板とサークルポストへの投函を行い、それに加えて補足的にSNSやメールでも連絡する。","規則が時代遅れであるとして、総会に細則改正案を提出する。","通知義務は果たしたとして、連絡が伝わらなくてもサークルの自己責任とする。",2,"規則の「遵守」と実効性の「確保」を両立させるための現実的な行動を問う問題です。規則に定められた最低限の義務を果たした上で、さらに効果的な手段を講じるのが最も適切かつ誠実な対応と言えます。選択肢3も長期的には正しいですが、短期的な行動としては2が最適です。"
S-21,S,"「本会の前年度繰越額とは、本会が前年度から繰り越した資金の総額である」と「本会の次年度繰越額は、次年度における前年度繰越額に一致しなければならない」という2つの条文が意味することは何か？","繰越額は毎年リセットされる。","ある年度の期末残高が、次の年度の期首残高として正しく引き継がれなければならないという、会計の連続性の原則を示している。","繰越額はインフレ率を考慮して調整されるべきである。","繰越額の計算方法が2通りあることを示している。",2,"一見当たり前のことを言っているように見えるこの2つの条文は、年度をまたいで会計が断絶せず、連続したものであることを保証するための重要な原則を定めています。会計の基本的な考え方を会則の言葉から読み解く問題です。"
S-22,S,"第36回総会で制定された「総会に関する細則」の第1章第1条で「厳正かつ円滑に議事を運営する事」が目的とされている。この目的を達成するため、同細則に盛り込まれていると考えられる仕組みは次のうちどれか？","議長に強力な議事進行権と終了時刻設定権を与える一方、議長団の議事参加を禁じることで中立性を担保する仕組み。","全ての議案を全会一致で可決することを義務付ける仕組み。","議案の提出を総会当日に限定し、サプライズを演出する仕組み。","執行委員長が議長を兼任し、迅速な意思決定を可能にする仕組み。",1,"細則第6条（議長の権利）と第7条（議長団の義務）の内容は、まさに「厳正（中立性）」と「円滑（議事進行権）」を両立させるための具体的な仕組みです。総則の目的と各条文の内容を結びつけて理解する必要があります。"
S-23,S,"「サークル援助金は以下の手順で決定するものとする」と第19回総会議案にある。この手順の1番目は「サークルはまず自ら活動資金を集めて1年間の活動を行なう」である。この規定が持つ本質的な意味は何か？","学友会はサークルの活動資金を一切援助しないという方針を示している。","サークル援助金は、サークルの自助努力を前提とした「事後的な補助」という位置づけであることを示している。","サークルの資金集めの能力をテストするための規定である。","会計処理を簡略化するための規定である。",2,"最初に自費で活動し、その実績（領収書等）に基づいて援助金が決まるというプロセスは、援助金が活動の元手ではなく、あくまで活動実績に対する補助・補填であることを明確に示しています。制度の根幹にあるフィロソフィーを問う問題です。"
S-24,S,"耐久消費財の紛失報告について、総会での報告が「審議ができなかった場合」や「報告しなかった場合」には、1年間代替品の購入ができない。このペナルティが終了するのはいつか？","報告しなかった総会から1年後。","報告が終了してから1年が経過するまで。","代替品の購入予算が総会で認められた時。","執行委員会が許可した時。",2,"第42回総会議案の7-4, 7-5には「報告が終了してから１年が経過するまで代替品を購入することができない」とあります。ペナルティの開始時点と終了時点を正確に読み解く必要があります。"
S-25,S,"第45回総会で改正された機関における細則第2条では、各機関の職務が定められているが、会計委員会の職務はこの細則には書かれていない。その理由は何か？","会計委員会には明確な職務がないため。","会計委員会の職務は、基本則という、より上位の規則で定められているため。","会計委員会の職務は、別の「会計委員会に関する細則」で定められているため。","会計委員会の職務は秘密事項であるため。",2,"基本則第16条2項に「各機関についての詳細は、会計委員会については第５章で、それ以外の機関については細則で定める」とあります。つまり、会計委員会だけは特別に基本則レベルでその職務が規定されており、他の機関とは扱いが違うことを理解しているかが問われます。"
S-26,S,"総会の決議で、ある議案が賛成100、反対100の可否同数になった場合、どうなるか？（個人・議長委任状はないものとする）","議長が可否を決定する。","議案は否決されたものと見なされる。","再投票が行われる。","会則に明確な規定はない。",4,"サークル代表者会議では「可否同数の時は議長の決定による」と明確な規定があります。しかし、総会については、提供された文書の中に可否同数の場合の取扱規定が見当たりません。これはルールの不備であり、「規定はない」が正解となります。あるルールとないルールを区別する問題です。"
S-27,S,"サークル代表者会議の議長は「投票権を持たない」。一方、総会の議長は議長団の一員としてその票が「議長委任状として扱われる」。この違いがもたらす最も大きな影響は何か？","総会議長は、サークル代表者会議議長よりも議決に与える影響力が間接的だが大きい可能性がある。","サークル代表者会議議長は、総会議長よりも中立性が高い。","総会は常に多数派が有利になり、サークル代表者会議は膠着しやすい。","どちらも実質的には同じである。",1,"サークル代表者会議議長は可否同数の場合しか影響力を行使できません。一方、総会議長は自らの1票（＋預かった議長委任状）を多数派に加算するため、僅差の採決を決定づける大きな力となり得ます。両者の権限の性質の微妙な違いを理解しているかが問われます。"
S-28,S,"第17回総会議案の「本予算」の定義（7.1）と「前年度仮決算報告」の定義（6.1）を組み合わせると、総会で予算が審議されている時点では、何がまだ確定していない状態だと言えるか？","前年度の最終的な収入と支出。","今年度の会費収入。","各サークルの援助金額。","学友会の総資産額。",1,"「前年度仮決算報告」が「前年度会計年度末前における一時的な決算報告」であることから、予算審議の時点では、参照している前年度の決算すらまだ暫定的なものであることがわかります。複数の定義から、審議のタイミングと情報の確定度合いを推論する問題です。"
S-29,S,"学友会員の権利における細則（第52回総会）と、学友会費に関する細則（第58回総会）を総合すると、休学して権利を延長し、復学後に過年次生となった学生は、どのような扱いを受けると推論できるか？","休学期間分、無料で会員期間が延長される。","復学後、過年次生追加加入の会費（5,000円）を支払う必要がある。","延長された権利と、過年次生としての権利は別物であり、両方の恩恵を受けられる。","休学した期間分の会費（例えば1年なら5,000円）が返還され、復学時に過年次生会費を支払う。",1,"休学時の権利延長は、支払った会費に対応する期間の権利を保障するための制度です。したがって、休学期間が明けて復学した際、元々持っていた権利の残り期間を行使できると解釈するのが最も自然です。過年次生会費は、その権利を使い切った後に追加で権利を得るためのものなので、すぐには適用されません。"
S-30,S,"第42回総会の議案で、耐久消費財のリストの書き方が細かく定められている。この規定が導入された最も大きな目的は何か？","リストの見た目を美しくするため。","各機関の会計担当者の負担を軽減するため。","全機関でフォーマットを統一し、資産管理の正確性と網羅性を高め、引き継ぎを容易にするため。","リスト作成を難しくすることで、備品の購入を抑制するため。",3,"様式を統一する目的は、個人の裁量をなくし、誰が見ても同じように解釈・管理できるようにすることにあります。これは組織的な資産管理の基本であり、その意図を読み解くことが求められます。"
SS-1,SS,"サークル代表者会議の投票において、ある議題に対し賛成15票、反対15票の可否同数となった。この会議には執行委員会から補助として2名の委員が参加していた。この後の展開として、規則上あり得るのはどれか？","補助の執行委員2名が投票し、決着をつける。","議長が自らの判断で可決または否決を決定する。","可否同数のため、議案は自動的に廃案となる。","執行委員長に判断が委ねられる。",2,"サークルに関する細則第11条「可否同数の場合は議長の判断に委ねられる」が直接の根拠です。しかし、難易度を上げるため、同細則第9条の「執行委員会員が補助につく」という情報をダミーとして入れています。補助の委員に議決権はなく、議長のキャスティングボートの権限を知っているかを問う、情報の取捨選択能力が試される問題です。"
SS-2,SS,"執行委員長が任期中に欠員となり、副執行委員長AとBがいた。副執行委員長Aが執行委員長の職務を代行することを選択した場合、その任期はどうなるか？","新たに1期分の任期が始まる。","前任者の残任期間を務める。","次の定期総会まで務める。","臨時総会で新たな執行委員長が任命されるまでの期間務める。",2,"基本則第14条には「副執行委員長が執行委員長の職務を代行するか、またはすみやかに臨時総会を開催し、正副執行委員長を任命しなければならない。この場合の任期は、前任者の残任期間とする」とあります。この「この場合」が「臨時総会で任命された場合」だけを指すのか、「代行した場合」も含むのか解釈が分かれ得ます。しかし文脈上、どちらのケースでも残任期間と解釈するのが最も自然です。選択肢4は「代行」ではなく「臨時総会開催」を選んだ場合のプロセスの一部であり、ひっかけです。"
SS-3,SS,"第17回総会議案の4項には「本年度決算可決より以前に明らかになった問題に対しては、継続して責任追及を行える」とある。一方、第20回総会議案「使途不明金の処理方法」では役員の補填を原則禁止している。では、決算承認前に役員の不正による使途不明金が発覚し、その役員が自主的に補填を申し出た場合、学友会としての最も規則に忠実な対応はどれか？","責任追及の一環として、その補填を受け入れる。","規則に基づき、補填は一切行わない原則を伝え、申し出を断る。","総会で承認を得た上で、例外的に補填を受け入れる。","補填を受け入れ、その後の責任追及は行わない。",2,"2つの異なる議案のルールが衝突しうる状況を想定した問題です。第17回総会では「責任追及」を可能とし、第20回総会では「補填による処理は一切行なわない」と定めています。後者のルールがより具体的かつ強い禁止規定であるため、規則に忠実な対応としては補填を断ることが正解となります。これはルールの優先順位や適用範囲を推論する能力を問う超難問です。"
SS-4,SS,"あるサークルが、サークル代表者会議に代表者も代理人も連絡なく欠席し、援助金の決定に著しく非協力的であったため、議長によって援助金を0円とする申請がなされ、会議で可決された。この決定に対し、当該サークルが不服を申し立てる場合、どの機関に、どのような根拠で訴えるのが最も論理的か？","総会に対し、「サークル代表者会議の決定」が「本会が公認するのにふさわしくない」として、公認取消の不当性を訴える。","執行委員会に対し、議長の権限濫用として調査を要求する。","総会に対し、援助金配分はサークル代表者会議の決定事項であるため、不服申し立てはできない。","総会に対し、サークル援助金の最終的な決定権は総会にある（サークル援助金総額の決定）という上位の権限を根拠に、配分の見直しを求める議案を提出する。",4,"サークル代表者会議の権限（個々の配分決定）と、総会の権限（援助金総額の決定）という、権限の階層構造を理解しているかが問われます。サークル代表者会議の決定は強力ですが、最高の決議機関である総会に、配分の原則や結果について再度審議を求める議案を提出することは、学友会員の権利として可能です。他の選択肢は的を外しているか、権限を誤解しています。"
SS-5,SS,"第17回総会議案で定められた「本会の次年度繰越額」の定義（7.4）と、その額が一致すべきもの（7.5）を考慮すると、決算時に「不明金」が発生するのは、どのような不一致が起きた時か？","「総収入額」と「総支出額」が一致しない時。","「前年度繰越額＋総収入額－総支出額」と「現金・口座等の残高総額」が一致しない時。","「収入予算」と「収入決算」の額が一致しない時。","「内部留保予算」と実際の「内部留保の残高」が一致しない時。",2,"この問題は、会計の基本概念と文書の二つの条文（7.4と7.5）を正確に結びつけて理解する必要があります。7.4は「計算上の次年度繰越額」を定義し、7.5は「実際の資産残高の総額」とそれが一致すべきことを定めています。この二つが一致しない場合に「不明金」が発生するという会計原則を、文書から読み解く必要があります。"
SS-6,SS,"「細則」の制定・改正には「会員の六分の一を超える賛成」が、「基本則」の改正には「会員の五分の一を超える賛成」が必要である。会員数1200名、総会出席者200名（委任状なし）の総会で、ある細則改正案が賛成180票で否決された。この結果から論理的に導かれる結論は何か？","この総会は定足数を満たしていない。","細則改正に必要な賛成数は201票以上だった。","基本則改正であれば、この票数でも可決された可能性がある。","出席者の過半は超えているが、総会員数ベースの要件を満たせなかった。",4,"細則改正には会員の1/6超、つまり1200/6 = 200人を超える賛成（201票以上）が必要です。賛成180票は出席者（200名）の過半数を超えていますが、総会員数ベースの要件には達していません。定足数（120名）は満たしており、基本則改正（1/5超＝241票以上）はもっと厳しいので、4が最も正確な結論です。具体的な数字で計算し、複数のルールを適用する能力が試されます。"
SS-7,SS,"第17回総会議案は、それ自体が「『本会の予算及び決算の原則に関する決議』修正案」である。そして補足で、第16回総会の「本会の予算及び決算の原則に関する決議」を失効させるとある。このことから、第16回総会から第17回総会の間に何があったと推測するのが最も妥当か？","第16回総会で一度ルールが作られたが、不備が見つかったため、翌年の第17回総会で全面的に改訂（修正）された。","第16回総会の議案は一度否決され、第17回総会で再提出された。","第16回と第17回で、全く異なる内容の予算・決算ルールが議論された。","第17回総会の議案は、第16回総会の議案を補足するためのもので、実質的な内容は変わっていない。",1,"議案名が「修正案」であり、かつ旧議案を「失効」させるという点から、単なる追加や無関係な議案ではなく、既存のルールを土台にしつつも、それを置き換えるほどの大きな変更があったと推論するのが最も自然です。文書のメタ情報（議案名や関係性）から背景を読み解く問題です。"
SS-8,SS,"耐久消費財の紛失報告について「その総会が、発覚から3週間以内にある場合はその次の総会まででもよい」という規定がある。この規定が存在する理由として、最も論理的な推論はどれか？","紛失した物品を3週間以内に見つけ出す努力を促すため。","総会の議案提出締切（総会10日前公示、議案提出締切はその更に前）に間に合わないケースを想定し、十分な原因調査と報告準備の期間を保障するため。","3週間という期間が、学友会の事務処理サイクルと一致しているため。","総会が頻繁に開催されることを前提としているため。",2,"紛失発覚から総会までの期間が短いと、原因調査や報告書作成が間に合いません。特に、総会の議案提出には締切がある（総会に関する細則第17条）ことを考慮すると、この締切に間に合わせるのが困難なケースを救済するための規定だと推論できます。複数のルールの関係性から、一つのルールの存在理由を導き出す超難問です。"
SS-9,SS,"公聴会では「いかなる方法の議決も行ってはならない」。一方、総会は「最高の決議機関」である。この2つの会議体の役割分担から、学友会がどのようなプロセスを重視していると考えられるか？","迅速な意思決定よりも、全会一致の合意形成を重視している。","議論を深める場（公聴会）と、意思決定を行う場（総会）を明確に分離し、熟慮に基づいた民主的プロセスを重視している。","執行委員会の権限を強化し、トップダウンの意思決定を円滑にするため。","形式的な手続きを重んじ、実質的な議論を軽視している。",2,"目的の異なる2つの会議体を設けていることから、単に多数決で決めるのではなく、その前に広く意見交換・議論をするプロセスを制度として保障していることが読み取れます。これは、民主的な組織運営における「熟議（deliberation）」の重視と解釈できます。制度全体の設計思想を問うています。"
SS-10,SS,"第21回総会で「サークル代表者会議不在者投票に関する覚書」が失効し、新たな投票ルールが導入された。旧ルールの名称「不在者投票」と、新ルールの内容「定足数に満たなくて開催できない場合、後日投票を行う」を比較して、どのような問題点が改善されたと考えられるか？","会議は開催されたが、欠席者が投票できないという問題が解決された。","会議自体が成立しないという事態に対応できるようになった。","投票の秘密が守られるようになった。","議長の権限が強化された。",2,"「不在者投票」は、会議は開催される前提で、来られない人が投票する制度です。一方、新ルールは「開催できない場合」の代替手段を定めています。このことから、そもそも会議が成立しない（定足数不足）という、より深刻な問題に対応するためにルールが変更されたと推論できます。ルールの名称と内容の変遷から、その背景にある課題を読み解く能力が問われます。"
SS-11,SS,"学友会の基本則と細則は、異なる改正要件（基本則:1/5超、細則:1/6超）を持つ。この「総会員数」を分母とする厳格な要件が、組織運営に与える影響として最も考えられることは？","役員の交代が頻繁に起こり、組織が不安定になる。","少数の熱心な会員だけで、安易に会の根幹ルールが変更されることを防ぐ効果がある。","総会の出席率が常に高い水準で維持される。","ほとんどの議案が否決され、組織が硬直化する可能性がある。",2,"「出席者」ではなく「総会員数」を基準にすることで、総会にあまり関心のない大多数のサイレントマジョリティーの存在が、間接的に現状維持の力として働きます。これにより、一部の活動的な会員による急進的なルール変更を防ぐ、一種の「保守的な安定装置」として機能します。選択肢4も可能性はありますが、最も直接的な「効果」は2です。"
SS-12,SS,"第19回総会で「サークル援助金決定方法」が定められ、第9回総会の「サークル援助金配布方法」が失効した。「配布」から「決定」への名称変更が示唆する、最も重要な変化は何か？","援助金の受け渡し方法が、手渡しから振込に変わった。","援助金の総額が増額された。","各サークルへの援助額が、単なる「配布」ではなく、サークル側の資料提出と折衝・会議での「決定」という、より透明で根拠のあるプロセスを経て決まるようになった。","援助金の申請が、より簡略化された。",3,"「配布」という言葉には一方的なニュアンスがありますが、「決定」にはプロセスや合意形成のニュアンスが含まれます。実際の議案内容も、領収書提出や折衝など、客観的な根拠と手続きを重視するものに変わっており、名称の変更がこの本質的な変化を象徴していると読み解くことができます。"
SS-13,SS,"使途のわかっている不明金に関しては、使途不明金の処理方法に関する議案は適用されない。この「使途のわかっている不明金」とは、どのような状況を指すと解釈するのが最も適切か？","領収書はないが、何に使ったか担当者が覚えているお金。","帳簿上の記録はないが、サークルの備品として現物が残っている支出。","帳簿の記録と領収書はあるが、それが学友会の活動として適切かどうかが不明な支出。","領収書を紛失したが、カードの利用明細などで使途と金額が客観的に証明できるお金。",4,"「使途がわかっている」とは、単に担当者の記憶にあるだけでなく、客観的に証明可能であることを要求すると解釈するのが、会計の透明性・厳格性の観点から最も妥当です。領収書はないがそれに代わる客観的証拠がある場合などがこれにあたります。ルールの例外規定の厳密な解釈を問う問題です。"
SS-14,SS,"第36回総会で改正された「総会に関する細則」は、それ以前に存在したであろう総会運営ルール（例えば第12回総会議案など）を、なぜ個別に失効させると記さなかったのか。最も可能性の高い理由は？","古いルールは全て有効なままであるため。","過去のルールが多すぎて、すべてをリストアップするのが困難だったため。","包括的な新しい細則を制定すること自体が、矛盾する過去の個別ルールを実質的に上書き（特別法は一般法に優先するの原則のように）すると考えられたため。","失効させるのを忘れたため。",3,"包括的で体系的な「細則」を制定した場合、それ以前に存在した個別の、断片的なルール（決議）は、新しい細則の内容と矛盾する限りにおいて、新しいルールが優先され、古いものは実質的に効力を失うと解釈するのが法的な考え方です。この「上書き」の概念を理解しているかを問うています。"
SS-15,SS,"会計委員長の任期は「一期」とされ、再任は妨げられない。一方、執行委員長が任期中に欠員となり、後任者が任命された場合の任期は「前任者の残任期間」である。この違いから、会計委員長の任期は、どのような事態と連動していると考えるのが最も自然か？","執行委員長の任期と連動している。","学友会の年度（前期・後期）と連動している。","特に何とも連動せず、任命された日から1年間である。","本人の希望によって任期が決まる。",1,"会計委員長は執行委員長が指名することから、その任期は執行部の任期と一蓮托生であると考えるのが自然です。執行委員長が交代すれば、新しい執行委員長が新たな会計委員長を指名するのが基本サイクルとなります。そのため、会計委員長の「一期」は執行委員長の「一期」に対応すると推論できます。"
SS-16,SS,"「学友会公認サークルの準公認格下げの条件について」（第47回総会）の議案では、格下げ後の準公認期間が「二年間と一週間有効」と、通常の準公認期間と同じに設定されている。この規定が意図することは何か？","一度格下げされると、二度と公認には戻れないことを示している。","格下げされたサークルに、再度公認を目指すための十分な猶予期間と機会を与えることを意図している。","準公認に格下げされたサークルを、新規の準公認サークルと区別なく扱うことを示している。","この期間設定に特に深い意味はなく、既存の規定を流用しただけである。",2,"格下げは罰則的な側面を持ちますが、その後の期間を新規サークルと同じにすることで、組織を立て直し、再度公認の要件を満たすためのチャンスを与えていると解釈できます。これは、罰則と更生の機会のバランスを取るという、建設的な意図の表れと考えられます。"
SS-17,SS,"第34回総会議案で、議事録の保存版を破棄できるのは「それに代わるものが認められるときのみ」と定められている。現代の技術を考慮すると、この「それに代わるもの」として最も相応しいと考えられるのは何か？","議事録の要約版。","議事録のコピー（複製版）。","改ざん不可能な形式でデジタル化され、複数のバックアップが取られた電子データ。","総会出席者の署名入りの確認書。",3,"「保存版」が持つ原本性、永続性、信頼性を代替できるものでなければなりません。単なるコピーや要約では不十分で、現代においては、長期保存性と真正性が担保されたデジタルアーカイブが最も適切な「代わるもの」と考えられます。規定の趣旨を現代の文脈で解釈する能力を問います。"
SS-18,SS,"学友会費は1年次加入が20,000円、4年次加入が5,000円と、加入年次が遅くなるほど安くなる。この料金体系が採用されている最も大きな理由は何か？","早く加入する学生を優遇するため。","学年が上がるにつれて、学生の経済的負担が大きくなることを考慮しているため。","学友会が提供するサービス（イベント等）を享受できる残りの期間が短くなるため、その期間に応じて会費を減額している。","高学年は学友会活動にあまり参加しないという実態を反映しているため。",3,"会費は通常、4年間の活動に対する対価として設定されています。加入年次が遅い学生は、恩恵を受けられる期間（卒業までの残り時間）が短いわけですから、それに比例して会費を安くするのは、公平性の観点から最も合理的な説明です。制度設計の根拠を経済合理性から推論する問題です。"
SS-19,SS,"第18回総会で、調布祭実行委員会、音楽協議会、体育会の3機関の内部留保金について、不正が考えられた場合に返還させることができる、という議案が可決された。なぜこの3機関だけが名指しされたのか、最も可能性の高い背景は何か？","この3機関が、学友会の他の機関と比べて特に大きな予算規模や内部留保金を扱っていたため。","この3機関の会計担当者が、過去に不正を働いたことがあったため。","この3機関だけが、法人格を持っていたため。","この3機関が、学友会の中で最も歴史が古く、特別な権限を持っていたため。",1,"特定の機関だけを対象とするルールが作られる場合、その機関が他と異なる特別な性質を持つと考えるのが自然です。会計に関するルールであることから、扱う金額の大きさ（予算規模や内部留保金）が、他の機関とは顕著に異なっていた可能性が最も高いと推論できます。文書に書かれていない背景事情を、議案の内容から推測する問題です。"
SS-20,SS,"第57回総会で「学友会員の表記に関する会則改正案」が可決されたが、下線部で示された変更点は「施行年月日」の追記のみである。この一見無意味に見える改正が行われた、最もあり得る目的は何か？","会則の書式を統一するため。","過去の改正履歴を明記することで、会則の変遷を可視化し、透明性を高めるため。","議案提出の実績を作るため。","単なる誤字の修正。",2,"わざわざ総会の議案として「施行年月日」を追記する行為は、その会則がいつの時点で有効なものなのかを明確にする意図があると考えるのが妥当です。これは、過去にいつ、どのような改正が行われたかを記録として残し、誰でもその変遷を追えるようにするという、組織運営の透明性確保に繋がる行為です。行為の裏にある隠れた目的を読み解く問題です。"
SS-21,SS,"基本則の改正要件（会員の1/5超）と細則の改正要件（会員の1/6超）に差が設けられている。この差は、どのような統治思想に基づいているか？","基本則はより変更しにくく（硬性）、細則は比較的変更しやすく（軟性）することで、組織の安定性と柔軟性を両立させる意図。","基本則に関わる議題の方が、会員の関心が高いことを示している。","特に意味はなく、議論の過程で偶然決まっただけである。","細則の方が条文数が多く、改正の頻度が高いため。",1,"国の憲法が法律よりも改正しにくい「硬性憲法」であるのと同じように、組織の根本規範である基本則の改正ハードルを高く設定するのは、組織の安定性を保つための基本的な設計思想です。この統治の概念を類推適用する問題です。"
SS-22,SS,"有効決議録には過去の様々なルールが記載されているが、会則（基本則・細則）も存在する。この二つのルール群の関係性を、法律に例えるならどれが最も近いか？","会則が「憲法」、有効決議録が「個別の法律」。","会則が「法律」、有効決議録が「政令・省令」。","会則が「民法」、有効決議録が「刑法」。","両者は同格で、新しいものが古いものに優先する。",1,"基本則が最高規範であり、細則がその下にあるという構造は、国の法体系における憲法と法律の関係に似ています。そして、総会で個別に議決される有効決議録は、特定の事項について定める個別の法律のような位置づけと考えることができます。2も近いですが、会則自体に階層があるため1がより適切です。"
SS-23,SS,"学友会は「会員の大学生活の充実」を目的とする。この抽象的な目的と、会計や会議手続きに関する非常に具体的なルールの数々との間には、どのような論理的な繋がりがあるか？","目的を公平かつ民主的に達成するためには、透明で厳格な手続き的公正さが不可欠である、という理念が根底にある。","目的達成のためには、可能な限り多くの会費を集める必要があるため、会計ルールが厳しくなっている。","目的とルールは無関係で、ルールは単に組織を維持するためだけのものである。","大学生活が充実しているかどうかを、ルール遵守率で測るため。",1,"「目的」と「手段」の関係性を問う問題です。どんなに崇高な目的を掲げても、その運営（手段）が不透明・不公正であれば、目的は達成されません。詳細な手続き規定は、目的を正しく実現するための土台（手続き的公正）である、という組織論の基本を理解しているかが問われます。"
SS-24,SS,"「サークル代表者会議」は基本則の「機関」にはリストアップされていない。しかし、サークルに関する細則では詳細な規定がある。この組織の法的な位置づけをどう説明するのが最も適切か？","基本則上の機関ではないが、細則によって特別な権限を与えられた、学友会の下部組織であり、かつ公認・準公認サークルによって構成される自治的な会議体。","実質的には学友会で最も力を持つ機関であるが、形式上は機関ではないとされている。","学友会とは全く別の、独立した組織である。","執行委員会の下に置かれた、諮問機関である。",1,"基本則の規定と細則の規定を統合し、その組織の性格（権限、構成員、位置づけ）を正確に言語化する能力が求められます。他の選択肢は、一部は正しいかもしれませんが、全体像を最も正確に捉えているのは1です。"
SS-25,SS,"会計委員長は執行委員長が「指名」し、各機関の長が「承認」する。この二段階の手続きは、執行委員長の権限にどのような影響を与えているか？","執行委員長の任命権を絶対的なものにしている。","執行委員長の任命権を、他の機関との合議制に近い形で制約し、独断を許さない仕組みになっている。","任命プロセスを形骸化させ、実質的に執行委員長が自由に決められるようにしている。","会計委員長を、執行委員長よりも各機関の長に従属させる効果がある。",2,"執行委員長は候補者を「指名」できますが、最終的な任命には他者の「承認」が必要です。これは、執行委員長の権限を完全に否定するものではないが、一方的な行使を不可能にする「チェック機能（牽制）」が働いていることを意味します。権力分立の概念を理解しているかが問われます。"
SS-26,SS,"1991年度の使途不明金に関して、誓約書は「破棄」、返還金は「学友会費にとどめ」、利息は「雑収入に組み込む」という、3つの異なる処理がなされた。この処理の違いが示す、当時の会計処理の思想とは何か？","過去の不祥事に関するものは、できるだけ記録から消したいという意向。","個別の事案の性質に応じて、最も会計上・倫理上、整合性のとれる処理を柔軟に選択した結果。","会計処理が杜撰で、一貫した方針がなかったことの表れ。","返還された金額が少額だったため、厳密な処理をしなかった。",2,"誓約書という個人的な約束事は当事者の合意で「破棄」、返還金という元々会費だった可能性のあるお金は「会費」に戻し、利息という新たに生まれた収益は「雑収入」に計上する。これは、それぞれの性質に合わせて最も適切な会計区分に仕分けるという、非常に丁寧で分別のある処理思想を反映しています。"
SS-27,SS,"総会で「保留されていた議案」は、終了時刻に達した時点で「廃案」となる。このルールがなければ、どのような事態が起こりうるか？","議長が意図的に特定の議案の審議を引き延ばし、事実上、無期限に採決を先送り（塩漬けに）することが可能になってしまう。","保留された議案は、自動的に次回の総会に持ち越され、議案がどんどん溜まっていく。","保留された議案は、全て可決されたものと見なされてしまう。","執行委員会が、保留議案の処遇を自由に決定できてしまう。",1,"「保留」という状態に時間的制約（総会終了まで）を設けることで、議事進行の権限を持つ議長による、意図的な議事妨害や特定議案の潰しを防ぐ効果があります。ルールの存在意義を「もしそのルールがなかったら？」という視点から考える問題です。"
SS-28,SS,"会則の階層構造は「基本則＞細則＞各総会での決議（有効決議録）」となっている。では、ある総会で「基本則に反する内容の細則改正案」が、細則改正の可決要件（1/6超）を満たして可決された場合、その細則の効力はどうなるか？","問題なく有効な細則として成立する。","基本則違反であるため、可決されても無効である。","一時的に有効だが、次の総会で再度審議する必要がある。","基本則が、その細則に合わせて自動的に改正されたと見なされる。",2,"基本則第4条「基本則は本会の最高規範である」および第6条「基本則に反しない範囲で細則を定めることができる」という規定により、下位規範である細則が上位規範である基本則に違反することは許されません。したがって、たとえ可決要件を満たしても、その細則は法的に無効となります。法の階層性の原理を理解しているかが問われます。"
SS-29,SS,"学友会員の権利として「総会における議案提出権」がある。一方、総会に関する細則では、議案提出に締切が設けられている。この二つの関係性をどう解釈すべきか？","細則は会員の権利を不当に制限しており、無効である。","議案提出権という権利の行使に対して、会の円滑な運営のために、手続き上の合理的な制約（締切）を課している。","議案提出権は、執行委員会にのみ認められた権利である。","締切を過ぎても、権利を主張すれば議案は受理されるべきである。",2,"権利は無制約に認められるわけではなく、他者の権利や共同体の利益との調整のために、合理的で必要な範囲で制約を受けることがあります。このケースでは、「議案提出権」という権利を保障しつつも、総会の円滑な運営という目的のために「事前提出・締切」という手続き的制約を課していると解釈するのが、法的な思考として妥当です。"
